indic,s_adj,unit,geo,time,values
BS-RCI,SA,BAL,BE,2018-08-01,-6.4
BS-RCI,SA,BAL,BG,2018-08-01,15.2
BS-RCI,SA,BAL,CY,2018-08-01,9.6
BS-RCI,SA,BAL,CZ,2018-08-01,18.4
BS-RCI,SA,BAL,DE,2018-08-01,-4.6
BS-RCI,SA,BAL,DK,2018-08-01,4.7
BS-RCI,SA,BAL,EA19,2018-08-01,1.7
BS-RCI,SA,BAL,EE,2018-08-01,10.8
BS-RCI,SA,BAL,EL,2018-08-01,19.7
BS-RCI,SA,BAL,ES,2018-08-01,11
BS-RCI,SA,BAL,EU28,2018-08-01,4.8
BS-RCI,SA,BAL,FI,2018-08-01,15
BS-RCI,SA,BAL,FR,2018-08-01,-1.3
BS-RCI,SA,BAL,HR,2018-08-01,11
BS-RCI,SA,BAL,HU,2018-08-01,11.6
BS-RCI,SA,BAL,IT,2018-08-01,7.2
BS-RCI,SA,BAL,LT,2018-08-01,9.9
BS-RCI,SA,BAL,LV,2018-08-01,6.7
BS-RCI,SA,BAL,ME,2018-08-01,19.7
BS-RCI,SA,BAL,MK,2018-08-01,2.3
BS-RCI,SA,BAL,MT,2018-08-01,11.1
BS-RCI,SA,BAL,NL,2018-08-01,6.7
BS-RCI,SA,BAL,PL,2018-08-01,4.9
BS-RCI,SA,BAL,PT,2018-08-01,1.3
BS-RCI,SA,BAL,RO,2018-08-01,3.6
BS-RCI,SA,BAL,RS,2018-08-01,12.5
BS-RCI,SA,BAL,SE,2018-08-01,14.4
BS-RCI,SA,BAL,SI,2018-08-01,10.6
BS-RCI,SA,BAL,SK,2018-08-01,20.2
BS-RCI,SA,BAL,TR,2018-08-01,-6.9
BS-RCI,SA,BAL,UK,2018-08-01,14.5
BS-REBS,NSA,BAL,AT,2018-08-01,-7.1
BS-REBS,NSA,BAL,BE,2018-08-01,-2.5
BS-REBS,NSA,BAL,BG,2018-08-01,27.8
BS-REBS,NSA,BAL,CY,2018-08-01,8.9
BS-REBS,NSA,BAL,CZ,2018-08-01,23.3
BS-REBS,NSA,BAL,DE,2018-08-01,-4.8
BS-REBS,NSA,BAL,DK,2018-08-01,16.2
BS-REBS,NSA,BAL,EA19,2018-08-01,8
BS-REBS,NSA,BAL,EE,2018-08-01,2.6
BS-REBS,NSA,BAL,EL,2018-08-01,29.3
BS-REBS,NSA,BAL,ES,2018-08-01,32.8
BS-REBS,NSA,BAL,EU28,2018-08-01,14
BS-REBS,NSA,BAL,FI,2018-08-01,19
BS-REBS,NSA,BAL,FR,2018-08-01,8
BS-REBS,NSA,BAL,HR,2018-08-01,22.2
BS-REBS,NSA,BAL,HU,2018-08-01,20.1
BS-REBS,NSA,BAL,IT,2018-08-01,14.2
BS-REBS,NSA,BAL,LT,2018-08-01,16.5
BS-REBS,NSA,BAL,LV,2018-08-01,9.2
BS-REBS,NSA,BAL,ME,2018-08-01,39.5
BS-REBS,NSA,BAL,MK,2018-08-01,14.9
BS-REBS,NSA,BAL,MT,2018-08-01,25.7
BS-REBS,NSA,BAL,NL,2018-08-01,2.5
BS-REBS,NSA,BAL,PL,2018-08-01,10.6
BS-REBS,NSA,BAL,PT,2018-08-01,6.9
BS-REBS,NSA,BAL,RO,2018-08-01,21.7
BS-REBS,NSA,BAL,RS,2018-08-01,36
BS-REBS,NSA,BAL,SE,2018-08-01,48
BS-REBS,NSA,BAL,SI,2018-08-01,8.8
BS-REBS,NSA,BAL,SK,2018-08-01,36
BS-REBS,NSA,BAL,TR,2018-08-01,-9.6
BS-REBS,NSA,BAL,UK,2018-08-01,31.9
BS-REBS,SA,BAL,AT,2018-08-01,-5.2
BS-REBS,SA,BAL,BE,2018-08-01,0
BS-REBS,SA,BAL,BG,2018-08-01,25.8
BS-REBS,SA,BAL,CY,2018-08-01,20.3
BS-REBS,SA,BAL,CZ,2018-08-01,24.5
BS-REBS,SA,BAL,DE,2018-08-01,-4
BS-REBS,SA,BAL,DK,2018-08-01,20.3
BS-REBS,SA,BAL,EA19,2018-08-01,12
BS-REBS,SA,BAL,EE,2018-08-01,18.7
BS-REBS,SA,BAL,EL,2018-08-01,37
BS-REBS,SA,BAL,ES,2018-08-01,38
BS-REBS,SA,BAL,EU28,2018-08-01,15.8
BS-REBS,SA,BAL,FI,2018-08-01,23
BS-REBS,SA,BAL,FR,2018-08-01,11.4
BS-REBS,SA,BAL,HR,2018-08-01,27.3
BS-REBS,SA,BAL,HU,2018-08-01,18
BS-REBS,SA,BAL,IT,2018-08-01,22.1
BS-REBS,SA,BAL,LT,2018-08-01,14
BS-REBS,SA,BAL,LV,2018-08-01,13
BS-REBS,SA,BAL,ME,2018-08-01,39.7
BS-REBS,SA,BAL,MK,2018-08-01,21.1
BS-REBS,SA,BAL,MT,2018-08-01,24.3
